19:53:57  $GNGGA,195357.00,2150.34372,S,04322.58626,W,3,10,1.16,788.9,M,-6.9,M,,*55
19:53:58  $GNGGA,195358.00,2150.34366,S,04322.58634,W,3,10,1.16,789.1,M,-6.9,M,,*55
19:53:59  $GNGGA,195359.00,2150.34362,S,04322.58641,W,3,10,1.01,789.3,M,-6.9,M,,*56
19:54:00  $GNGGA,195400.00,2150.34364,S,04322.58635,W,2,10,1.01,789.4,M,-6.9,M,,*5F
19:54:01  $GNGGA,195401.00,2150.34366,S,04322.58625,W,1,10,1.01,789.4,M,-6.9,M,,*5D
19:54:02  $GNGGA,195402.00,2150.34366,S,04322.58622,W,1,10,1.01,789.4,M,-6.9,M,,*59
19:54:03  $GNGGA,195403.00,2150.34370,S,04322.58616,W,1,10,1.04,789.4,M,-6.9,M,,*5D
19:54:04  $GNGGA,195404.00,2150.34373,S,04322.58613,W,1,10,1.04,789.5,M,-6.9,M,,*5D
19:54:05  $GNGGA,195405.00,2150.34380,S,04322.58604,W,1,10,1.04,789.5,M,-6.9,M,,*56
19:54:06  $GNGGA,195406.00,2150.34387,S,04322.58596,W,1,10,1.04,789.4,M,-6.9,M,,*5B
19:54:07  $GNGGA,195407.00,2150.34396,S,04322.58588,W,1,10,1.04,789.5,M,-6.9,M,,*54
19:54:08  $GNGGA,195408.00,2150.34407,S,04322.58576,W,1,10,1.04,789.4,M,-6.9,M,,*54
19:54:09  $GNGGA,195409.00,2150.34417,S,04322.58570,W,1,10,1.04,789.4,M,-6.9,M,,*52
19:54:10  $GNGGA,195410.00,2150.34420,S,04322.58563,W,1,10,1.01,789.2,M,-6.9,M,,*5F
19:54:11  $GNGGA,195411.00,2150.34428,S,04322.58556,W,1,10,1.01,789.2,M,-6.9,M,,*50
19:54:12  $GNGGA,195412.00,2150.34432,S,04322.58553,W,1,10,1.01,789.1,M,-6.9,M,,*5E
19:54:13  $GNGGA,195413.00,2150.34432,S,04322.58555,W,1,10,1.01,789.1,M,-6.9,M,,*59
19:54:14  $GNGGA,195414.00,2150.34430,S,04322.58561,W,1,10,1.01,789.0,M,-6.9,M,,*5A
19:54:15  $GNGGA,195415.00,2150.34434,S,04322.58566,W,1,10,1.01,789.0,M,-6.9,M,,*58
19:54:16  $GNGGA,195416.00,2150.34432,S,04322.58577,W,1,10,1.01,789.0,M,-6.9,M,,*5D
